book,chapter,verse,content_mismatch_summary,issue_count,order_differs_from_greek_syntax_informational_only,tr_scrivener_sequence,db_sequence,content_mismatch_detail
Jud,1,5,strongs_mismatch,1,yes,"Ὑπομνῆσαι δὲ ὑμᾶς βούλομαι, εἰδότας ὑμᾶς τοῦτο ὅτι ὁ κύριος ἅπαξ λαὸν ἐκ γῆς Αἰγύπτου σώσας τὸ δεύτερον τοὺς μὴ πιστεύσαντας ἀπώλεσεν.",βουλομαι δε υμας υπομνησαι ειδοτας υμας απαξ τουτο οτι ὁ κυριος σωσας λαον εκ γης αιγυπτου δευτερον απωλεσεν πιστευσαντας μη το τους,"STRONGS MISMATCH: word text matches ('τοῦτο'); expected Strong's (TR/TAGNT G5124, cross-walked to this DB's lexeme numbering: G3956/G5124) vs DB actual 'τουτο'=G3778"
Jud,1,12,extra_word,1,yes,"Οὗτοί εἰσιν ἐν ταῖς ἀγάπαις ὑμῶν σπιλάδες, συνευωχούμενοι, ἀφόβως ἑαυτοὺς ποιμαίνοντες· νεφέλαι ἄνυδροι, ὑπὸ ἀνέμων περιφερόμεναι δένδρα φθινοπωρινὰ ἄκαρπα, δὶς ἀποθανόντα, ἐκριζωθέντα·",ουτοι εισιν σπιλαδες εν υμων ὁ αγαπαις συνευωχουμενοι υμιν ποιμαινοντες εαυτους αφοβως νεφελαι ανυδροι περιφερομεναι υπο ανεμων δενδρα φθινοπωρινα ακαρπα δις αποθανοντα εκριζωθεντα,"EXTRA: DB has 'υμιν' (G4771), no TR counterpart anywhere in verse"
Jud,1,17,mixed_content,2,yes,"Ὑμεῖς δὲ ἀγαπητοί, μνήσθητε τῶν ῥημάτων τῶν προειρημένων ὑπὸ τῶν ἀποστόλων τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,",δε αγαπητοι μνησθητε υμεις ὁ ρηματων προειρημενων υπο ὁ αποστολων ὁ ημων ὁ κυριου ιησου χριστου των,"STRONGS MISMATCH: word text matches ('προειρημένων'); expected Strong's (TR/TAGNT G4280, cross-walked to this DB's lexeme numbering: G4280) vs DB actual 'προειρημενων'=G4302 | EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Jud,1,19,extra_word,1,yes,"οὗτοί εἰσιν οἱ ἀποδιορίζοντες, ψυχικοί, πνεῦμα μὴ ἔχοντες.",ουτοι εισιν αποδιοριζοντες εαυτους ψυχικοι εχοντες μη πνευμα οι,"EXTRA: DB has 'εαυτους' (G1438), no TR counterpart anywhere in verse"
Jud,1,24,mixed_content,3,yes,"Τῷ δὲ δυναμένῳ φυλάξαι αὐτούς ἀπταίστους καὶ στῆσαι κατενώπιον τῆς δόξης αὐτοῦ ἀμώμους ἐν ἀγαλλιάσει,",δε δυναμενω φυλαξαι υμας απταιστους και στησαι αμωμους κατενωπιον ὁ αυτου ὁ δοξης εν αγαλλιασει τω,"MISSING: TR has 'αὐτοῦ' (G0846), no match anywhere in DB verse | EXTRA: DB has 'υμας' (G4771), no TR counterpart anywhere in verse | EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,1,12,extra_word,1,yes,"καὶ ἐταράχθη Ζαχαρίας ἰδών, καὶ φόβος ἐπέπεσεν ἐπ᾽ αὐτόν.¶",και ιδων ζαχαριας ιδων εταραχθη και φοβος επεπεσεν επ αυτον,"EXTRA: DB has 'ιδων' (G3708), no TR counterpart anywhere in verse"
Luk,1,14,strongs_mismatch,1,yes,"καὶ ἔσται χαρά σοι καὶ ἀγαλλίασις, καὶ πολλοὶ ἐπὶ τῇ γεννήσει αὐτοῦ χαρήσονται.",και σοι εσται χαρα και αγαλλιασις και πολλοι χαρησονται επι αυτου ὁ γεννησει,"STRONGS MISMATCH: word text matches ('γεννήσει'); expected Strong's (TR/TAGNT G1080, cross-walked to this DB's lexeme numbering: G1078/G1080) vs DB actual 'γεννησει'=G1083"
Luk,1,35,extra_word,2,yes,Καὶ ἀποκριθεὶς ὁ ἄγγελος εἶπεν αὐτῇ· πνεῦμα ἅγιον ἐπελεύσεται ἐπὶ σὲ καὶ δύναμις ὑψίστου ἐπισκιάσει σοι· διὸ καὶ τὸ γεννώμενον ἅγιον κληθήσεται υἱὸς θεοῦ.,και αγγελος αποκριθεις ειπεν αυτη αγιον πνευμα επελευσεται επι σε και δυναμις υψιστου επισκιασει σοι διο και ὁ αγιον ὁ γεννωμενον εκ σου κληθησεται υιος θεου,"EXTRA: DB has 'εκ' (G1537), no TR counterpart anywhere in verse | EXTRA: DB has 'σου' (G4771), no TR counterpart anywhere in verse"
Luk,1,48,extra_word,1,yes,ὅτι ἐπέβλεψεν ἐπὶ τὴν ταπείνωσιν τῆς δούλης αὐτοῦ. ἰδοὺ γὰρ ἀπὸ τοῦ νῦν μακαριοῦσίν με πᾶσαι αἱ γενεαὶ,του επι οτι επεβλεψεν ὁ ταπεινωσιν ὁ αυτου ὁ δουλης γαρ ιδου απο νυν πασαι ὁ γενεαι μακαριουσιν με,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,1,55,extra_word,1,yes,"καθὼς ἐλάλησεν πρὸς τοὺς πατέρας ἡμῶν, τῷ Ἀβραὰμ καὶ τῷ σπέρματι αὐτοῦ εἰς τὸν αἰῶνα.¶",τω καθως ελαλησεν προς ημων ὁ πατερας αβρααμ και ὁ αυτου ὁ σπερματι εις ὁ αιωνα,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,1,58,extra_word,1,yes,"καὶ ἤκουσαν οἱ περίοικοι καὶ οἱ συγγενεῖς αὐτῆς ὅτι ἐμεγάλυνεν κύριος τὸ ἔλεος αὐτοῦ μετ᾽ αὐτῆς, καὶ συνέχαιρον αὐτῇ.¶",οι οι και αυτης περιοικοι και αυτης συγγενεις ηκουσαν οτι κυριος εμεγαλυνεν ὁ ελεος μετ αυτης και συνεχαιρον αυτη αυτου,"EXTRA: DB has 'αυτη' (G0846), no TR counterpart anywhere in verse"
Luk,1,59,extra_word,1,yes,Καὶ ἐγένετο ἐν ἡμέρᾳ τῇ ὀγδόῃ ἦλθον περιτεμεῖν τὸ παιδίον καὶ ἐκάλουν αὐτὸ ἐπὶ τῷ ὀνόματι τοῦ πατρὸς αὐτοῦ Ζαχαρίαν.,τη και εγενετο εν ογδοη ημερα ηλθον περιτεμειν ὁ παιδιον και εκαλουν αυτο ζαχαριαν επι ὁ ονοματι ὁ αυτου ὁ πατρος,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,1,62,extra_word,1,yes,ἐνένευον δὲ τῷ πατρὶ αὐτοῦ τὸ τί ἂν θέλοι καλεῖσθαι αὐτόν,αν το δε ενενευον ὁ αυτου ὁ πατρι τι θελοι αυτον καλεισθαι,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,1,74,extra_word,3,yes,ἀφόβως ἐκ χειρὸς τῶν ἐχθρῶν ἡμῶν ῥυσθέντας λατρεύειν αὐτῷ,των του δουναι ημιν ρυσθεντας εκ χειρος ημων εχθρων λατρευειν αυτω αφοβως,"EXTRA: DB has 'του' (G3588), no TR counterpart anywhere in verse | EXTRA: DB has 'δουναι' (G1325), no TR counterpart anywhere in verse | EXTRA: DB has 'ημιν' (G1473), no TR counterpart anywhere in verse"
Luk,1,77,extra_word,1,yes,τοῦ δοῦναι γνῶσιν σωτηρίας τῷ λαῷ αὐτοῦ ἐν ἀφέσει ἁμαρτιῶν αὐτῶν,του δουναι γνωσιν σωτηριας ὁ αυτου ὁ λαω εν αφεσει αυτων αμαρτιων,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,2,22,word_substitution,1,yes,"καὶ ὅτε ἐπλήσθησαν αἱ ἡμέραι τοῦ καθαρισμοῦ αὐτῶν κατὰ τὸν νόμον Μωϋσέως, ἀνήγαγον αὐτὸν εἰς Ἱεροσόλυμα παραστῆσαι τῷ κυρίῳ",και οτε ημεραι ὁ αυτης ὁ καθαρισμου κατα ὁ νομον μωσεως επλησθησαν ανηγαγον αυτον εις ιεροσολυμα παραστησαι ὁ κυριω,"DIFFERENT FORM: same Strong's G0846, TR 'αὐτῶν' vs DB 'αυτης'"
Luk,2,26,extra_word,2,yes,καὶ ἦν αὐτῷ κεχρηματισμένον ὑπὸ τοῦ πνεύματος τοῦ ἁγίου μὴ ἰδεῖν θάνατον πρὶν ἢ ἴδῃ τὸν χριστὸν κυρίου,η του και ην κεχρηματισμενον αυτω υπο αγιου ὁ πνευματος ιδειν μη ιδειν θανατον πριν ιδη ὁ κυριου ὁ χριστον,"EXTRA: DB has 'ιδειν' (G3708), no TR counterpart anywhere in verse | EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,2,33,extra_word,1,yes,Καὶ ἦν αὐτοῦ καὶ ἡ μήτηρ θαυμάζοντες ἐπὶ τοῖς λαλουμένοις περὶ αὐτοῦ.,τοις και ιωσηφ και αυτου ὁ μητηρ θαυμαζοντες επι λαλουμενοις περι αυτου ην,"EXTRA: DB has 'ιωσηφ' (G2501), no TR counterpart anywhere in verse"
Luk,2,37,word_substitution,1,yes,καὶ αὐτὴ χήρα ὡς ἐτῶν ὀγδοήκοντα τεσσάρων ἣ οὐκ ἀφίστατο ἀπὸ τοῦ ἱεροῦ νηστείαις καὶ δεήσεσιν λατρεύουσα νύκτα καὶ ἡμέραν·,και αυτη χηρα ως ὀγδοήκοντα ογδοηκοντατεσσαρων ετων η αφιστατο ουκ απο ὁ ιερου λατρευουσα νηστειαις και δεησεσιν νυκτα και ημεραν,"DIFFERENT FORM: same Strong's G5064, TR 'τεσσάρων' vs DB 'ογδοηκοντατεσσαρων'"
Luk,3,14,extra_word,2,yes,ἐπηρώτων δὲ αὐτὸν καὶ στρατευόμενοι λέγοντες· τί καὶ ἡμεῖς; καὶ εἶπεν πρὸς αὐτούς μηδένα διασείσητε μηδὲ συκοφαντήσητε καὶ ἀρκεῖσθε τοῖς ὀψωνίοις ὑμῶν.¶,δε στρατευομενοι και επηρωτων αυτον λεγοντες και τι ποιησομεν ημεις ποιησομεν και ειπεν προς αυτους διασεισητε μηδενα μηδε συκοφαντησητε και αρκεισθε υμων ὁ οψωνιοις,"EXTRA: DB has 'ποιησομεν' (G4160), no TR counterpart anywhere in verse | EXTRA: DB has 'ποιησομεν' (G4160), no TR counterpart anywhere in verse"
Luk,3,16,extra_word,2,yes,"ἀπεκρίνατο λέγων ὁ Ἰωάννης· ἐγὼ μὲν ὕδατι βαπτίζω ὑμᾶς· ἔρχεται δὲ ὁ ἰσχυρότερός μου, οὗ οὐκ εἰμὶ ἱκανὸς λῦσαι τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ. αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ καὶ πυρί,",ο ὁ ιωαννης απεκρινατο λεγων απασιν απασιν εγω μεν βαπτιζω υμας υδατι δε ισχυροτερος μου ερχεται ὁ ιμαντα αυτου ου ὁ υποδηματων ειμι ουκ ικανος λυσαι αυτος βαπτισει υμας εν αγιω πνευματι και πυρι,"EXTRA: DB has 'απασιν' (G0537), no TR counterpart anywhere in verse | EXTRA: DB has 'απασιν' (G0537), no TR counterpart anywhere in verse"
Luk,3,22,extra_word,1,yes,"καὶ καταβῆναι τὸ πνεῦμα τὸ ἅγιον σωματικῷ εἴδει ὡσεὶ περιστερὰν ἐπ᾽ αὐτὸν καὶ φωνὴν ἐξ οὐρανοῦ γενέσθαι λέγουσαν· σὺ εἶ ὁ υἱός μου ὁ ἀγαπητός, ἐν σοὶ εὐδόκησα.¶",ο το και ὁ αγιον ὁ πνευμα καταβηναι σωματικω ειδει ωσει περιστεραν επ αυτον και φωνην γενεσθαι εξ ουρανου λεγουσαν συ ει μου αγαπητος ὁ υιος εν σοι ηυδοκησα,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,3,29,mixed_content,2,yes,τοῦ Ἰωσή τοῦ Ἐλιέζερ τοῦ Ἰωρὶμ τοῦ Μαθθὰτ τοῦ Λευὶ,ιωση ιωση ελιεζερ ὁ ιωρειμ ὁ ὁ ματθατ ὁ ὁ λευι,"STRONGS MISMATCH: word text matches ('Ἰωσή'); expected Strong's (TR/TAGNT G2499, cross-walked to this DB's lexeme numbering: G2424/G2499) vs DB actual 'ιωση'=G2500 | EXTRA: DB has 'ιωση' (G2500), no TR counterpart anywhere in verse"
Luk,4,22,extra_word,1,yes,καὶ πάντες ἐμαρτύρουν αὐτῷ καὶ ἐθαύμαζον ἐπὶ τοῖς λόγοις τῆς χάριτος τοῖς ἐκπορευομένοις ἐκ τοῦ στόματος αὐτοῦ καὶ ἔλεγον· Οὐχ υἱός ἐστιν ὁ Ἰωσὴφ οὗτος;,και παντες αυτω εμαρτυρουν και εθαυμαζον επι ὁ ὁ χαριτος ὁ λογοις τοις εκπορευομενοις εκ αυτου ὁ στοματος και ελεγον εστιν ουχ ουτος ιωσηφ ὁ υιος,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,4,23,extra_word,1,yes,"καὶ εἶπεν πρὸς αὐτούς· πάντως ἐρεῖτέ μοι τὴν παραβολὴν ταύτην· ἰατρέ, θεράπευσον σεαυτόν· ὅσα ἠκούσαμεν γενόμενα ἐν τὴν Καφαρναούμ, ποίησον καὶ ὧδε ἐν τῇ πατρίδι σου.¶",τη και ειπεν προς αυτους ερειτε παντως ερειτε μοι ταυτην ὁ παραβολην ιατρε θεραπευσον σεαυτον οσα ηκουσαμεν γενομενα εν καπερναουμ ποιησον και ωδε εν σου ὁ πατριδι,"EXTRA: DB has 'ερειτε' (G2046), no TR counterpart anywhere in verse"
Luk,4,29,extra_word,2,yes,καὶ ἀναστάντες ἐξέβαλον αὐτὸν ἔξω τῆς πόλεως καὶ ἤγαγον αὐτὸν ἕως τῆς ὀφρύος τοῦ ὄρους ἐφ᾽ οὗ ἡ πόλις ᾠκοδόμητο αὐτῶν κατακρημνίσαι αὐτόν.,το και ανασταντες εξεβαλον αυτον εξω ὁ πολεως και ηγαγον αυτον εως ὁ οφρυος ὁ ορους εφ αυτων ὁ πολις ωκοδομητο εις αυτον κατακρημνισαι ου,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse | EXTRA: DB has 'εις' (G1519), no TR counterpart anywhere in verse"
Luk,5,1,word_substitution,1,yes,Ἐγένετο δὲ ἐν τῷ τὸν ὄχλον ἐπικεῖσθαι αὐτῷ τοῦ ἀκούειν τὸν λόγον τοῦ θεοῦ καὶ αὐτὸς ἦν ἑστὼς παρὰ τὴν λίμνην Γεννησαρὲτ,δε εγενετο εν ὁ οχλον επικεισθαι ὁ αυτω ὁ ακουειν ὁ λογον ὁ θεου και αυτος εἰμί εστως παρα ὁ λιμνην γεννησαρετ,"DIFFERENT FORM: same Strong's G1510, TR 'ἦν' vs DB 'εἰμί'"
Luk,5,14,extra_word,1,yes,καὶ αὐτὸς παρήγγειλεν αὐτῷ μηδενὶ εἰπεῖν ἀλλ᾽ ἀπελθὼν δεῖξον σεαυτὸν τῷ ἱερεῖ καὶ προσένεγκε περὶ τοῦ καθαρισμοῦ σου καθὼς προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς.¶,και αυτος παρηγγειλεν αυτω ειπειν ειπειν μηδενι αλλα απελθων δειξον σεαυτον ὁ ιερει και προσενεγκε περι σου ὁ καθαρισμου καθως μωσης προσεταξεν εις μαρτυριον αυτοις,"EXTRA: DB has 'ειπειν' (G3004), no TR counterpart anywhere in verse"
Luk,5,36,mixed_content,3,yes,"ἔλεγεν δὲ καὶ παραβολὴν πρὸς αὐτοὺς ὅτι οὐδεὶς ἐπίβλημα ἱματίου καινοῦ ἐπιβάλλει ἐπὶ ἱμάτιον παλαιόν· εἰ δὲ μή γε, καὶ τὸ καινὸν σχίζει καὶ τῷ παλαιῷ οὐ συμφωνεῖ ἐπίβλημα τὸ ἀπὸ τοῦ καινοῦ.",δε ελεγεν και παραβολην προς αυτους οτι ουδεις επιβαλλει επιβλημα καινου ιματιου επι ιματιον παλαιον ει μηγε δε και ὁ καινον σχιζει και επιβλημα το απο ὁ καινου συμφωνει ου ὁ παλαιω,"MISSING: TR has 'μή' (G3361), no match anywhere in DB verse | MISSING: TR has 'γε,' (G1065), no match anywhere in DB verse | EXTRA: DB has 'μηγε' (G1490), no TR counterpart anywhere in verse"
Luk,5,37,mixed_content,3,yes,"καὶ οὐδεὶς βάλλει οἶνον νέον εἰς ἀσκοὺς παλαιούς· εἰ δὲ μή γε, ῥήξει ὁ οἶνος νέος τοὺς ἀσκοὺς καὶ αὐτὸς ἐκχυθήσεται, καὶ οἱ ἀσκοὶ ἀπολοῦνται·",και ουδεις βαλλει νεον οινον εις παλαιους ασκους εἰ δέ μηγε νεος ὁ οινος ρηξει ὁ ασκους και αυτος εκχυθησεται και ὁ ασκοι απολουνται,"MISSING: TR has 'μή' (G3361), no match anywhere in DB verse | MISSING: TR has 'γε,' (G1065), no match anywhere in DB verse | EXTRA: DB has 'μηγε' (G1490), no TR counterpart anywhere in verse"
Luk,6,1,extra_word,1,yes,"Ἐγένετο δὲ ἐν σαββάτῳ δευτεροπρώτῳ διαπορεύεσθαι αὐτὸν διὰ τῶν σπορίμων, καὶ ἔτιλλον οἱ μαθηταὶ αὐτοῦ καὶ ἤσθιον τοὺς στάχυας ψώχοντες ταῖς χερσίν.",των δε εγενετο εν σαββατω δευτεροπρωτω αυτον διαπορευεσθαι δια σποριμων και αυτου ὁ μαθηται ετιλλον ὁ σταχυας και ησθιον ψωχοντες ὁ ὁ χερσιν,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,6,10,extra_word,2,yes,καὶ περιβλεψάμενος πάντας αὐτοὺς εἶπεν ἔκτεινον τὴν χεῖρά σου. ὁ δὲ ἐποίησεν οὕτως· καὶ ἀπεκατεστάθη ἡ χεὶρ αὐτοῦ ὑγιὴς ὡς ἡ ἄλλη.,η ο και περιβλεψαμενος αυτους παντας ειπεν ὁ ανθρωπω εκτεινον σου ὁ χειρα δε εποιησεν ουτως και αυτου ὁ χειρ αποκατεσταθη υγιης ως αλλη,"EXTRA: DB has 'ανθρωπω' (G0444), no TR counterpart anywhere in verse | EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,6,17,extra_word,6,yes,καὶ καταβὰς μετ᾽ αὐτῶν ἔστη ἐπὶ τόπου πεδινοῦ. καὶ ὄχλος μαθητῶν αὐτοῦ καὶ πλῆθος πολὺ τοῦ λαοῦ ἀπὸ πάσης τῆς Ἰουδαίας καὶ Ἰερουσαλὴμ καὶ τῆς παραλίου Τύρου καὶ Σιδῶνος,της καταβας μετ εστη επι τοπου πεδινου και οχλος μαθητων και πολυ πληθος ὁ λαου απο πασης ὁ ιουδαιας και ιερουσαλημ και παραλιου τυρου και σιδωνος οι ηλθον ακουσαι αυτου και ιαθηναι αυτων ὁ νοσων,"EXTRA: DB has 'οι' (G3739), no TR counterpart anywhere in verse | EXTRA: DB has 'ηλθον' (G2064), no TR counterpart anywhere in verse | EXTRA: DB has 'ακουσαι' (G0191), no TR counterpart anywhere in verse | EXTRA: DB has 'ιαθηναι' (G2390), no TR counterpart anywhere in verse | EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse | EXTRA: DB has 'νοσων' (G3554), no TR counterpart anywhere in verse"
Luk,6,23,mixed_content,2,yes,χαίρετε ἐν ἐκείνῃ τῇ ἡμέρᾳ καὶ σκιρτήσατε· ἰδοὺ γὰρ ὁ μισθὸς ὑμῶν πολὺς ἐν τῷ οὐρανῷ. κατὰ τὰ ταῦτα γὰρ ἐποίουν τοῖς προφήταις οἱ πατέρες αὐτῶν.¶,χαιρετε εν εκεινη ὁ ημερα και σκιρτησατε γαρ ιδου υμων ὁ μισθος πολυς εν ὁ ουρανω γαρ κατα ταυτα εποιουν αυτων ὁ πατερες ὁ προφηταις,"STRONGS MISMATCH: word text matches ('ταῦτα'); expected Strong's (TR/TAGNT G5024, cross-walked to this DB's lexeme numbering: G0846/G5024) vs DB actual 'ταυτα'=G3778 | MISSING: TR has 'τοῖς' (G3588), no match anywhere in DB verse"
Luk,6,26,mixed_content,2,yes,Οὐαὶ ὑμῖν ὅταν ὑμᾶς καλῶς εἴπωσιν πάντες οἱ ἄνθρωποι· κατὰ τὰ ταῦτα γὰρ ἐποίουν τοῖς ψευδοπροφήταις οἱ πατέρες αὐτῶν.,ουαι υμιν οταν παντες ὁ ανθρωποι ειπωσιν καλως υμας γαρ κατα ταυτα εποιουν αυτων ὁ πατερες ὁ ψευδοπροφηταις,"STRONGS MISMATCH: word text matches ('ταῦτα'); expected Strong's (TR/TAGNT G5024, cross-walked to this DB's lexeme numbering: G0846/G5024) vs DB actual 'ταυτα'=G3778 | MISSING: TR has 'τοῖς' (G3588), no match anywhere in DB verse"
Luk,6,29,extra_word,1,yes,"τῷ τύπτοντί σε ἐπὶ τὴν σιαγόνα, πάρεχε καὶ τὴν ἄλλην· καὶ ἀπὸ τοῦ αἴροντός σου τὸ ἱμάτιον καὶ τὸν χιτῶνα μὴ κωλύσῃς.¶",του την τω τυπτοντι σε επι ὁ ὁ σιαγονα παρεχε και αλλην και απο αιροντος σου ὁ ιματιον κωλυσης μη ὁ χιτωνα και,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,6,34,word_substitution,1,yes,καὶ ἐὰν δανείζητε παρ᾽ ὧν ἐλπίζετε ἀπολαβεῖν ποία ὑμῖν χάρις ἐστίν; καὶ γὰρ οἱ ἁμαρτωλοὶ ἁμαρτωλοῖς δανίζουσιν ἵνα ἀπολάβωσιν τὰ ἴσα.,και εαν δανειζητε παρ ων ελπιζητε απολαβειν ποια χαρις εστιν υμιν γαρ ὁ αμαρτωλοι και δανειζουσιν αμαρτωλοις ινα απολαβωσιν ὁ ισα,"DIFFERENT FORM: same Strong's G1679, TR 'ἐλπίζετε' vs DB 'ελπιζητε'"
Luk,6,37,missing_word,1,yes,"καὶ μὴ κρίνετε, καὶ οὐ μὴ κριθῆτε. μὴ καταδικάζετε, καὶ οὐ μὴ καταδικασθῆτε. ἀπολύετε, καὶ ἀπολυθήσεσθε.",κρινετε μη και κριθητε ου μη καταδικαζετε μη και οὐ μη καταδικασθητε απολυετε και απολυθησεσθε,"MISSING: TR has 'καὶ' (G2532), no match anywhere in DB verse"
Luk,6,42,extra_word,1,yes,"ἢ πῶς δύνασαι λέγειν τῷ ἀδελφῷ σου· ἀδελφέ, ἄφες ἐκβάλω τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ σου, αὐτὸς τὴν ἐν τῷ ὀφθαλμῷ σου δοκὸν οὐ βλέπων; ὑποκριτά, ἔκβαλε πρῶτον τὴν δοκὸν ἐκ τοῦ ὀφθαλμοῦ σου, καὶ τότε διαβλέψεις τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου ἐκβαλεῖν.",το την το η πως δυνασαι λεγειν ὁ σου ὁ αδελφω αδελφε αφες εκβαλω ὁ καρφος εν σου ὁ οφθαλμω αυτος βλεπων ου δοκον εν σου ὁ οφθαλμω υποκριτα εκβαλε πρωτον ὁ δοκον εκ σου ὁ οφθαλμου και τοτε διαβλεψεις εκβαλειν ὁ καρφος εν σου ὁ αδελφου ὁ οφθαλμω,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
Luk,6,45,missing_word,1,yes,"Ὁ ἀγαθὸς ἄνθρωπος ἐκ τοῦ ἀγαθοῦ θησαυροῦ τῆς καρδίας αὐτοῦ προφέρει τὸ ἀγαθόν, καὶ ὁ πονηρὸς ἄνθρωπος ἐκ τοῦ πονηροῦ θησαυροῦ τῆς καρδίας αὑτοῦ προφέρει τὸ πονηρόν· ἐκ γὰρ τοῦ περισσεύματος τῆς καρδίας λαλεῖ τὸ στόμα αὐτοῦ.",ὁ αγαθος ανθρωπος εκ ὁ αγαθου θησαυρου ὁ καρδιας προφερει ὁ αγαθον και ὁ πονηρος ανθρωπος εκ ὁ πονηρου θησαυρου αυτου ὁ καρδιας προφερει ὁ πονηρον γαρ εκ ὁ περισσευματος ὁ καρδιας αυτου ὁ στομα λαλει,"MISSING: TR has 'αὑτοῦ' (G1438), no match anywhere in DB verse"
Luk,6,48,extra_word,2,yes,"ὅμοιός ἐστιν ἀνθρώπῳ οἰκοδομοῦντι οἰκίαν ὃς ἔσκαψεν καὶ ἐβάθυνεν καὶ ἔθηκεν θεμέλιον ἐπὶ τὴν πέτραν. πλημμύρης δὲ γενομένης προσέρηξεν ὁ ποταμὸς τῇ οἰκίᾳ ἐκείνῃ, καὶ οὐκ ἴσχυσεν σαλεῦσαι τεθεμελίωτο ἐπὶ τὴν πέτραν.¶",εστιν ομοιος ανθρωπω ος οικοδομουντι οικιαν και εσκαψεν εβαθυνεν και εθηκεν θεμελιον επι ὁ πετραν δε πλημμυρας γενομενης ὁ ποταμος προσερρηξεν εκεινη ὁ οικια και ισχυσεν ουκ σαλευσαι αυτην γαρ τεθεμελιωτο επι ὁ πετραν,"EXTRA: DB has 'αυτην' (G0846), no TR counterpart anywhere in verse | EXTRA: DB has 'γαρ' (G1063), no TR counterpart anywhere in verse"
Luk,7,1,extra_word,2,yes,"ἐπλήρωσεν πάντα τὰ ῥήματα αὐτοῦ εἰς τὰς ἀκοὰς τοῦ λαοῦ, εἰσῆλθεν εἰς Καφαρναούμ.",δε επει επληρωσεν παντα αυτου ὁ ρηματα εις ὁ ακοας ὁ λαου εισηλθεν εις καπερναουμ,"EXTRA: DB has 'δε' (G1161), no TR counterpart anywhere in verse | EXTRA: DB has 'επει' (G1893), no TR counterpart anywhere in verse"
Luk,7,13,extra_word,1,yes,καὶ ἰδὼν αὐτὴν ὁ κύριος ἐσπλαγχνίσθη ἐπ᾽ αὐτῇ καὶ εἶπεν αὐτῇ· μὴ κλαῖε.,και ιδων ὁ κυριος ιδων αυτην εσπλαγχνισθη επ αυτη και ειπεν αυτη κλαιε μη,"EXTRA: DB has 'ιδων' (G3708), no TR counterpart anywhere in verse"
Luk,7,19,extra_word,7,yes,"ἔπεμψεν πρὸς τὸν Ἰησοῦν λέγων· σὺ εἶ ὁ ἐρχόμενος, ἢ ἄλλον προσδοκῶμεν;¶",και ιωαννης προσκαλεσαμενος δυο τινας αυτου ὁ μαθητων επεμψεν προς ὁ ιησουν λεγων ει συ ερχομενος η προσδοκωμεν αλλον,"EXTRA: DB has 'και' (G2532), no TR counterpart anywhere in verse | EXTRA: DB has 'ιωαννης' (G2491), no TR counterpart anywhere in verse | EXTRA: DB has 'προσκαλεσαμενος' (G4341), no TR counterpart anywhere in verse | EXTRA: DB has 'δυο' (G1417), no TR counterpart anywhere in verse | EXTRA: DB has 'τινας' (G5100), no TR counterpart anywhere in verse | EXTRA: DB has 'αυτου' (G0846), no TR counterpart anywhere in verse | EXTRA: DB has 'μαθητων' (G3101), no TR counterpart anywhere in verse"
